Lake,VAR RMSE,VAR MAE,VAR R2,VAR NRMSE,VAR N_test,VARX RMSE,VARX MAE,VARX R2,VARX NRMSE,VARX N_test,VARX RMSE Improvement (%),Evaluation N Match
Lake Superior,0.9250079399258037,0.7843301636711879,-1.3524881396050268,1.5332459173282988,1430,2.276076939916037,2.1752258141772973,-13.243292691793433,3.772708887159685,1430,-146.06025977448417,True
Lake Huron,1.0055800653292968,0.7802942894879177,-1.4373348482972341,1.5606622259521767,1461,1.0919183264764452,0.9947357809140573,-1.8738374349419247,1.69465937592812,1461,-8.585916141732108,True
Lake Michigan,1.0684925086039538,0.8253572882486403,-1.447099801061757,1.5637854240696325,1461,0.8102521840354157,0.6882137537072337,-0.4071783322497382,1.1858394373495937,1461,24.168660284379893,True
Lake Erie,1.0460724287589518,0.8172978231657031,-1.3705368191064715,1.539127764379047,1461,0.5134882897414195,0.39641234764084793,0.42880515192511126,0.7555156427955593,1461,50.91274030129864,True
Lake Ontario,0.9291209602453847,0.7678650925438898,-0.1577158780306367,1.0755960451116515,1431,1.2201301394965085,0.9287051799685837,-0.9965021622764996,1.4124825600935433,1431,-31.32091425149499,True
