Lake,Preferred Model,Statistical RMSE,Statistical MAE,Statistical R2,Statistical NRMSE,Statistical N_test,Seasonal Naive RMSE,Seasonal Naive MAE,Seasonal Naive R2,Seasonal Naive NRMSE,XGBoost RMSE,XGBoost MAE,XGBoost R2,XGBoost NRMSE,XGBoost N_test,Evaluation N Match_x,Lowest-RMSE Model,Lowest RMSE,VAR RMSE,VAR MAE,VAR R2,VAR NRMSE,VAR N_test,VARX RMSE,VARX MAE,VARX R2,VARX NRMSE,VARX N_test,VARX RMSE Improvement (%),Evaluation N Match_y
Lake Superior,Fourier-only,0.5876332198157351,0.4638507760550161,0.0506000605241883,0.974030812363868,1430,0.6060742067238509,0.4889440559440571,-0.0099226788389288,1.0045976504070542,0.709693868981622,0.6138379657451937,-0.38477313074506725,1.1763523102907394,1430,True,Fourier-only,0.5876332198157351,0.9250079399258035,0.7843301636711879,-1.3524881396050268,1.5332459173282988,1430,2.276076939916037,2.1752258141772973,-13.243292691793432,3.772708887159685,1430,-146.06025977448417,True
Lake Huron,Fourier-only,1.0374261671171254,0.9034006036699708,-1.5941571622741169,1.610087438143328,1461,1.5581986626659932,1.4212155108128302,-4.613020195024219,2.368297805943736,1.3458066408656382,1.146661239091378,-3.365632977100054,2.0886945358714804,1461,True,VAR,1.0055800653292968,1.0055800653292968,0.7802942894879177,-1.437334848297234,1.5606622259521767,1461,1.0919183264764452,0.9947357809140572,-1.873837434941925,1.69465937592812,1461,-8.585916141732108,True
Lake Michigan,Fourier-only,1.3933059163156596,1.289528064392072,-3.161037991090077,2.0391640237620186,1461,1.5528365557667014,1.4062765229294998,-4.16844871478153,2.272644077816863,1.275391939052552,1.0867375359610296,-2.4865512549958324,1.8665917713097815,1461,True,VARX,0.8102521840354157,1.0684925086039538,0.8253572882486403,-1.447099801061757,1.5637854240696325,1461,0.8102521840354157,0.6882137537072337,-0.4071783322497382,1.1858394373495935,1461,24.168660284379893,True
Lake Erie,Fourier-only,0.5753907584838137,0.4429917117582116,0.2827856694447646,0.8465951949428797,1461,1.1442681307714746,0.9345790554414788,-1.836473947275635,1.683606986997954,1.2243342653599905,1.089666571750942,-2.247305906392221,1.8014114595600454,1461,True,VARX,0.5134882897414195,1.0460724287589518,0.8172978231657031,-1.3705368191064715,1.539127764379047,1461,0.5134882897414195,0.3964123476408479,0.4288051519251112,0.7555156427955593,1461,50.91274030129864,True
Lake Ontario,Fourier-only,0.9337997947739156,0.8492468114798315,-0.1694052059517001,1.0810124937011771,1431,1.044925309706454,0.8988399720475189,-0.4642929511994964,1.209656846252288,0.43890699832719143,0.33996693651797805,0.741653557267026,0.5081002923966684,1431,True,XGBoost,0.43890699832719143,0.9291209602453848,0.7678650925438898,-0.1577158780306367,1.0755960451116515,1431,1.2201301394965085,0.9287051799685836,-0.9965021622764996,1.4124825600935431,1431,-31.32091425149499,True
