Lake,ADF d,Best ARIMA,Best Fourier K,Validation RMSE,Validation MAE,Validation R2,Validation N,Minimum RMSE,Selected Optimiser
Lake Superior,1,"(0, 1, 0)",2,0.4747231471005121,0.3524649825109311,0.13878322852934688,1096,0.4738918522739637,lbfgs
Lake Huron,1,"(0, 1, 1)",1,0.8887325568066935,0.7587757958494232,-0.5909612407304354,1066,0.8839976711192367,lbfgs
Lake Michigan,1,"(0, 1, 0)",1,0.7256634453212739,0.644707310061681,-0.03812933135642149,1096,0.7256634453212739,lbfgs
Lake Erie,0,"(1, 0, 1)",1,1.8283232465365291,1.7335535669423516,-6.896939434679083,1096,1.811844926775905,powell_then_lbfgs
Lake Ontario,0,"(2, 0, 1)",1,0.9267321628643939,0.7371077691905378,0.34132277558187873,1096,0.9267321628643939,lbfgs
Lake Woods,0,"(2, 0, 0)",2,0.7809168405105826,0.6125727685123372,-0.10805046801837648,1096,0.7744255903836262,powell_then_lbfgs
Great Salt Lake,0,"(1, 0, 2)",1,1.1003833919180581,0.9124016338968519,0.24580578343370718,1096,1.0963794459214913,powell
Lake Champlain,0,"(2, 0, 1)",4,1.2264579112880092,1.0743504616205342,0.4201282605523271,1096,1.2235480767837323,lbfgs
Red Lake,1,"(0, 1, 0)",1,1.1061149445670444,0.9447650407520312,-0.6459778922061685,1096,1.1038979261758908,lbfgs
Lake Tahoe,0,"(2, 0, 1)",2,1.4558005882636653,1.1159067701273377,0.22376917929468987,1096,1.4558005882636653,lbfgs
