Lake 1,Lake 2,CCM From,CCM To,E,LibSize,rho
Lake Superior,Lake Ontario,Lake Ontario,Lake Superior,3,140.0,0.4873869842017178
Lake Superior,Lake Ontario,Lake Ontario,Lake Superior,3,160.0,0.4936482975843086
Lake Superior,Lake Ontario,Lake Ontario,Lake Superior,3,180.0,0.4880452031507817
Lake Superior,Lake Ontario,Lake Ontario,Lake Superior,3,200.0,0.49064426557459145
Lake Superior,Lake Ontario,Lake Ontario,Lake Superior,3,220.0,0.4916560535247818
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,20.0,0.2923099789908744
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,40.0,0.2882396173982786
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,60.0,0.32388579460862166
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,80.0,0.31031468659881656
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,100.0,0.34381748907607573
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,120.0,0.33034087374704296
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,140.0,0.3333781029394334
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,160.0,0.3394225059251653
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,180.0,0.34215182912533093
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,200.0,0.32099192840110463
Lake Superior,Lake Ontario,Lake Superior,Lake Ontario,3,220.0,0.325978431384076
Lake Superior,Lake Woods,Lake Woods,Lake Superior,2,20.0,0.2401819535160828
Lake Superior,Lake Woods,Lake Woods,Lake Superior,2,40.0,0.3043830305861891
Lake Superior,Lake Woods,Lake Woods,Lake Superior,2,60.0,0.3566332503097803
Lake Superior,Lake Woods,Lake Woods,Lake Superior,2,80.0,0.3620509023109474
Lake Superior,Lake Woods,Lake Woods,Lake Superior,2,100.0,0.34757616709724243
Lake Superior,Lake Woods,Lake Woods,Lake Superior,2,120.0,0.3453214390288862
Lake Superior,Lake Woods,Lake Woods,Lake Superior,2,140.0,0.348272657850789
Lake Superior,Lake Woods,Lake Woods,Lake Superior,2,160.0,0.3602017209162462
Lake Superior,Lake Woods,Lake Woods,Lake Superior,2,180.0,0.34797809641193256
Lake Superior,Lake Woods,Lake Woods,Lake Superior,2,200.0,0.33806574550721435
Lake Superior,Lake Woods,Lake Woods,Lake Superior,2,220.0,0.33910821655796364
Lake Superior,Lake Woods,Lake Superior,Lake Woods,2,20.0,0.213646246858131
Lake Superior,Lake Woods,Lake Superior,Lake Woods,2,40.0,0.2035344118972021
Lake Superior,Lake Woods,Lake Superior,Lake Woods,2,60.0,0.2664882866977021
Lake Superior,Lake Woods,Lake Superior,Lake Woods,2,80.0,0.3048193307130178
Lake Superior,Lake Woods,Lake Superior,Lake Woods,2,100.0,0.30260312738696366
Lake Superior,Lake Woods,Lake Superior,Lake Woods,2,120.0,0.30130770669076584
Lake Superior,Lake Woods,Lake Superior,Lake Woods,2,140.0,0.30541997386874675
Lake Superior,Lake Woods,Lake Superior,Lake Woods,2,160.0,0.30642632513046897
Lake Superior,Lake Woods,Lake Superior,Lake Woods,2,180.0,0.30458209759975363
Lake Superior,Lake Woods,Lake Superior,Lake Woods,2,200.0,0.3001559607584532
Lake Superior,Lake Woods,Lake Superior,Lake Woods,2,220.0,0.2954631505993773
Lake Superior,Great Salt Lake,Great Salt Lake,Lake Superior,2,20.0,0.523737633073196
Lake Superior,Great Salt Lake,Great Salt Lake,Lake Superior,2,40.0,0.5445717188765412
Lake Superior,Great Salt Lake,Great Salt Lake,Lake Superior,2,60.0,0.5478014925909923
Lake Superior,Great Salt Lake,Great Salt Lake,Lake Superior,2,80.0,0.5530296702872721
Lake Superior,Great Salt Lake,Great Salt Lake,Lake Superior,2,100.0,0.5589468589417735
Lake Superior,Great Salt Lake,Great Salt Lake,Lake Superior,2,120.0,0.5488850701170813
Lake Superior,Great Salt Lake,Great Salt Lake,Lake Superior,2,140.0,0.5441393339040809
Lake Superior,Great Salt Lake,Great Salt Lake,Lake Superior,2,160.0,0.5407295974357231
Lake Superior,Great Salt Lake,Great Salt Lake,Lake Superior,2,180.0,0.539005810352938
Lake Superior,Great Salt Lake,Great Salt Lake,Lake Superior,2,200.0,0.5375439401478508
Lake Superior,Great Salt Lake,Great Salt Lake,Lake Superior,2,220.0,0.5361829272349253
Lake Superior,Great Salt Lake,Lake Superior,Great Salt Lake,2,20.0,0.584288522007576
Lake Superior,Great Salt Lake,Lake Superior,Great Salt Lake,2,40.0,0.61043078750171
Lake Superior,Great Salt Lake,Lake Superior,Great Salt Lake,2,60.0,0.6043279092116408
Lake Superior,Great Salt Lake,Lake Superior,Great Salt Lake,2,80.0,0.6041431746967483
Lake Superior,Great Salt Lake,Lake Superior,Great Salt Lake,2,100.0,0.6038758577949586
Lake Superior,Great Salt Lake,Lake Superior,Great Salt Lake,2,120.0,0.5983303302815227
Lake Superior,Great Salt Lake,Lake Superior,Great Salt Lake,2,140.0,0.5943460029456077
Lake Superior,Great Salt Lake,Lake Superior,Great Salt Lake,2,160.0,0.587195768566033
Lake Superior,Great Salt Lake,Lake Superior,Great Salt Lake,2,180.0,0.5911490026712312
Lake Superior,Great Salt Lake,Lake Superior,Great Salt Lake,2,200.0,0.5914480631266438
Lake Superior,Great Salt Lake,Lake Superior,Great Salt Lake,2,220.0,0.5886849868232218
Lake Superior,Lake Champlain,Lake Champlain,Lake Superior,3,20.0,0.2657856850902083
Lake Superior,Lake Champlain,Lake Champlain,Lake Superior,3,40.0,0.262372973280962
Lake Superior,Lake Champlain,Lake Champlain,Lake Superior,3,60.0,0.24100365686310288
Lake Superior,Lake Champlain,Lake Champlain,Lake Superior,3,80.0,0.27793983318043525
Lake Superior,Lake Champlain,Lake Champlain,Lake Superior,3,100.0,0.2821606115311203
Lake Superior,Lake Champlain,Lake Champlain,Lake Superior,3,120.0,0.2810523039734433
Lake Superior,Lake Champlain,Lake Champlain,Lake Superior,3,140.0,0.2839494372014394
Lake Superior,Lake Champlain,Lake Champlain,Lake Superior,3,160.0,0.29967929660133275
Lake Superior,Lake Champlain,Lake Champlain,Lake Superior,3,180.0,0.30269400993269674
Lake Superior,Lake Champlain,Lake Champlain,Lake Superior,3,200.0,0.3104128674591753
Lake Superior,Lake Champlain,Lake Champlain,Lake Superior,3,220.0,0.31389706335343376
Lake Superior,Lake Champlain,Lake Superior,Lake Champlain,3,20.0,0.2314711904851779
Lake Superior,Lake Champlain,Lake Superior,Lake Champlain,3,40.0,0.245344073148228
Lake Superior,Lake Champlain,Lake Superior,Lake Champlain,3,60.0,0.2751353246279664
Lake Superior,Lake Champlain,Lake Superior,Lake Champlain,3,80.0,0.28782612957044534
Lake Superior,Lake Champlain,Lake Superior,Lake Champlain,3,100.0,0.31824370090646
Lake Superior,Lake Champlain,Lake Superior,Lake Champlain,3,120.0,0.32610600688347424
Lake Superior,Lake Champlain,Lake Superior,Lake Champlain,3,140.0,0.3292445683101257
Lake Superior,Lake Champlain,Lake Superior,Lake Champlain,3,160.0,0.3230360289751738
Lake Superior,Lake Champlain,Lake Superior,Lake Champlain,3,180.0,0.33326462634305776
Lake Superior,Lake Champlain,Lake Superior,Lake Champlain,3,200.0,0.3429225502292596
Lake Superior,Lake Champlain,Lake Superior,Lake Champlain,3,220.0,0.3427742183276653
Lake Superior,Red Lake,Red Lake,Lake Superior,2,20.0,0.08240459735943595
Lake Superior,Red Lake,Red Lake,Lake Superior,2,40.0,0.10842390091120788
